WAST,BP,DP,Dta,Dts,Dtx,EV,EV10,QFE,QFF,QNH,RF,RF10,RH,S,SR,Ss,Sx,T,Wd,Ws
1/1/2022 9:00,1008.5,9.9,163,21,172,18.3,0.17,1008.6,1012.1,1012.2,0,0,45.03,2.6,5.3,0.8,4.4,22.41,145,3.22
1/1/2022 9:10,1008.5,10,158,30,149,18.47,0.17,1008.6,1012.1,1012.2,0,0,44.57,2.7,5.5,1,5.4,22.66,127,4.55
1/1/2022 9:20,1008.4,9.7,151,26,101,18.63,0.16,1008.5,1012,1012.1,0,0,44.48,2.4,5.5,1,5.6,22.44,156,2.66
1/1/2022 9:30,1008.5,10.1,159,37,93,18.79,0.16,1008.6,1012.1,1012.2,0,0,42.74,2.1,5.5,0.9,4.3,23.45,148,2.66
1/1/2022 9:40,1008.6,10.2,159,44,155,18.95,0.16,1008.7,1012.2,1012.3,0,0,41.67,2.1,5.3,0.7,4.6,24.07,173,2.44
1/1/2022 9:50,1008.4,10.1,177,32,148,19.11,0.16,1008.5,1012,1012.1,0,0,40.79,2.1,5.5,0.9,4.3,24.3,151,3.33
1/1/2022 10:00,1008.4,10.4,157,37,169,19.28,0.17,1008.5,1012,1012.1,0,0,40.45,2.3,5.5,0.6,3.9,24.69,168,1.44
1/1/2022 10:10,1008.3,10,136,44,134,19.46,0.18,1008.4,1011.9,1012,0,0,40.32,2.4,5.3,1,5.4,24.36,169,3.55
1/1/2022 10:20,1008.3,10.5,133,25,103,19.66,0.2,1008.4,1011.9,1012,0,0,40.89,2.9,5.3,1,5.3,24.68,139,2.78
1/1/2022 10:30,1008.2,10.5,179,44,116,19.83,0.17,1008.3,1011.7,1011.9,0,0,38.6,2,5.5,0.8,4.2,25.64,145,2.44
1/1/2022 10:40,1008,10.4,150,34,146,20.02,0.19,1008.1,1011.6,1011.7,0,0,40.42,2.6,5.3,0.9,4.4,24.76,204,1.78
1/1/2022 10:50,1008,10.1,170,31,173,20.24,0.22,1008.1,1011.5,1011.7,0,0,38.35,3,5.3,1.2,6.3,25.34,199,3.89
1/1/2022 11:00,1007.9,10.4,166,31,158,20.41,0.17,1008,1011.4,1011.6,0,0,38.57,2.1,5.3,0.8,4,25.5,172,1.55
1/1/2022 11:10,1007.8,10.1,149,62,104,20.57,0.16,1007.9,1011.3,1011.5,0,0,37.22,1.7,4.4,0.8,3.6,25.76,158,2.44
1/1/2022 11:20,1007.7,9.4,163,34,132,20.78,0.21,1007.8,1011.2,1011.4,0,0,35.99,2.7,4.7,0.8,4.9,25.56,134,2.33
1/1/2022 11:30,1007.5,10.3,151,35,131,20.96,0.18,1007.6,1011,1011.2,0,0,35.97,2,4.1,0.9,4.1,26.65,103,1.44
1/1/2022 11:40,1007.6,9.7,171,49,123,21.14,0.18,1007.7,1011.1,1011.3,0,0,34.62,1.9,5.5,0.8,3.9,26.54,179,1.55
1/1/2022 11:50,1007.5,9.9,203,39,188,21.33,0.19,1007.6,1011,1011.2,0,0,33.2,1.9,5,0.9,4.2,27.57,237,1
1/1/2022 12:00,1007.4,8.9,174,63,226,21.52,0.19,1007.5,1010.9,1011.1,0,0,32.83,2,5.3,0.7,3.8,26.61,60,1.44
1/1/2022 12:10,1007.3,8.3,178,38,175,21.74,0.22,1007.4,1010.8,1011,0,0,29.12,2.2,4.9,0.8,4.1,27.94,233,2.22
1/1/2022 12:20,1007.2,9.4,227,61,302,21.92,0.18,1007.3,1010.7,1010.9,0,0,30.6,1.6,5.5,0.8,4.4,28.35,269,1.78
1/1/2022 12:30,1007,8.9,203,26,182,22.12,0.2,1007.1,1010.5,1010.7,0,0,28.77,1.9,4.6,0.4,3,28.78,159,2.44
1/1/2022 12:40,1007,11.8,221,39,245,22.3,0.18,1007.1,1010.5,1010.7,0,0,35.93,1.8,4.6,1.1,5.4,28.37,224,2
1/1/2022 12:50,1006.9,11.9,253,37,258,22.54,0.24,1007,1010.4,1010.6,0,0,40.55,3.7,4.7,1.2,6.8,26.41,291,3.11
1/1/2022 13:00,1006.9,13.1,245,35,278,22.74,0.2,1007,1010.4,1010.6,0,0,42.06,2.8,4.4,1.1,6,27.1,206,1.67
1/1/2022 13:10,1006.9,12.9,246,42,256,22.92,0.18,1007,1010.4,1010.6,0,0,44.05,2.7,4.7,0.9,6.3,26.12,187,2
1/1/2022 13:20,1006.9,13.3,251,45,226,23.12,0.2,1007,1010.4,1010.6,0,0,42.32,2.9,4.7,1.2,6,27.17,209,1.89
1/1/2022 13:30,1006.8,13.5,245,40,284,23.31,0.19,1006.9,1010.3,1010.5,0,0,42.79,2.7,4.7,1.1,6.1,27.19,269,4.22
1/1/2022 13:40,1006.8,13.4,255,38,302,23.55,0.24,1006.9,1010.3,1010.5,0,0,44.54,4.1,4.9,1.4,8.1,26.48,294,4.44
1/1/2022 13:50,1006.8,14,252,45,252,23.74,0.19,1006.9,1010.3,1010.5,0,0,46.54,3,4.9,1.3,7,26.35,317,4.22
1/1/2022 14:00,1006.8,13.9,248,37,284,23.94,0.2,1006.9,1010.3,1010.5,0,0,45.21,3,4.4,0.9,5.9,26.74,239,3
1/1/2022 14:10,1006.7,13.8,240,43,272,24.13,0.19,1006.8,1010.2,1010.4,0,0,46.18,3,4.6,1.2,7.8,26.29,227,2.89
1/1/2022 14:20,1006.7,14,253,34,310,24.34,0.21,1006.8,1010.2,1010.4,0,0,46.89,3.6,4.4,1.4,6.8,26.23,269,5
1/1/2022 14:30,1006.6,13.4,248,42,256,24.53,0.19,1006.7,1010.1,1010.3,0,0,46.96,3.2,4.4,0.9,6,25.53,274,2.33
1/1/2022 14:40,1006.5,13.5,244,42,282,24.71,0.18,1006.6,1010,1010.2,0,0,47,2.9,4.6,1.2,6.9,25.69,245,1.89
1/1/2022 14:50,1006.5,13.8,243,46,254,24.89,0.18,1006.6,1010,1010.2,0,0,48.49,2.9,4.7,1,6.8,25.5,315,3.44
1/1/2022 15:00,1006.5,13.7,246,39,279,25.07,0.18,1006.6,1010,1010.2,0,0,48.56,3,4.6,1.1,6.9,25.34,336,3.44
1/1/2022 15:10,1006.4,13.6,246,39,285,25.27,0.2,1006.5,1009.9,1010.1,0,0,49.01,3.6,4.4,1.2,6.8,25.09,246,3.22
1/1/2022 15:20,1006.4,13.2,231,41,275,25.45,0.18,1006.5,1009.9,1010.1,0,0,46.76,2.9,4.3,1.1,6.5,25.43,209,4
1/1/2022 15:30,1006.3,13.5,244,37,262,25.64,0.19,1006.4,1009.8,1010,0,0,47.16,3.2,4.9,1.2,6.2,25.59,280,4.55
1/1/2022 15:40,1006.3,13.4,234,40,248,25.82,0.18,1006.4,1009.8,1010,0,0,48.8,3,4.7,1.1,6.9,24.91,275,2.33
1/1/2022 15:50,1006.2,14,240,39,259,25.99,0.17,1006.3,1009.7,1009.9,0,0,50.25,3,4.9,0.8,5.7,25.08,231,3.55
1/1/2022 16:00,1006.2,13.7,234,45,235,26.17,0.18,1006.3,1009.7,1009.9,0,0,49.5,3.1,4.4,1.2,7.2,25.02,225,4.33
1/1/2022 16:10,1006.2,14,236,43,274,26.34,0.17,1006.3,1009.7,1009.9,0,0,50.5,3,4.3,0.9,5.6,24.98,248,3.22
1/1/2022 16:20,1006.1,13.6,244,44,246,26.51,0.17,1006.2,1009.6,1009.8,0,0,51.12,3.1,4.4,1,5.2,24.3,355,3.11
1/1/2022 16:30,1006,13.5,242,40,283,26.69,0.18,1006.1,1009.5,1009.7,0,0,50.6,3.4,4.7,1.1,6.7,24.36,219,3.22
1/1/2022 16:40,1006,13.9,239,40,244,26.85,0.16,1006.1,1009.5,1009.7,0,0,51.08,2.7,4.6,1,5.7,24.69,234,2.33
1/1/2022 16:50,1006,14.4,241,42,267,27,0.15,1006.1,1009.5,1009.7,0,0,52.79,2.8,4.4,0.9,5.3,24.65,254,2.55
1/1/2022 17:00,1006,13.8,231,49,255,27.15,0.15,1006.1,1009.5,1009.7,0,0,51.29,2.7,4.6,0.8,5.3,24.52,178,2.55
1/1/2022 17:10,1006,14.3,228,36,285,27.29,0.14,1006.1,1009.5,1009.7,0,0,53.37,2.6,4.4,0.8,4.8,24.36,163,2.55
1/1/2022 17:20,1006.1,14.2,233,39,274,27.43,0.14,1006.2,1009.6,1009.8,0,0,53.2,2.4,4.4,0.8,5.6,24.37,209,2.66
1/1/2022 17:30,1006.2,14.2,239,43,267,27.56,0.13,1006.3,1009.8,1009.9,0,0,54.12,2.2,4.4,0.8,4.6,24,349,1.78
1/1/2022 17:40,1006.2,14.3,230,41,284,27.69,0.13,1006.3,1009.8,1009.9,0,0,54.73,2.4,4.1,0.9,5.6,23.93,202,1.89
1/1/2022 17:50,1006.3,14.3,239,34,259,27.82,0.13,1006.4,1009.9,1010,0,0,56.52,2.6,4.3,0.9,4.9,23.41,191,2.11
