WAST,BP,DP,Dta,Dts,Dtx,EV,EV10,QFE,QFF,QNH,RF,RF10,RH,S,SR,Ss,Sx,T,Wd,Ws
4/27/2022 9:00,999.5,14.5,214,19,183,2258.33,0,999.6,1003.1,1003.2,46.25,0,92.78,0.3,6.1,0.3,1.1,15.65,199,0.33
4/27/2022 9:10,999.5,14.6,218,21,198,2258.33,0,999.6,1003.1,1003.2,46.25,0,92.93,0.6,6.6,0,1.3,15.76,184,0.56
4/27/2022 9:20,999.5,14.6,212,14,200,2258.33,0,999.6,1003.1,1003.2,46.25,0,92.75,0.8,7,0.4,2.2,15.74,201,0.33
4/27/2022 9:30,999.7,14.9,195,28,176,2258.34,0.01,999.8,1003.3,1003.4,46.25,0,90.9,1.3,7.6,0.6,3.2,16.43,212,1.11
4/27/2022 9:40,999.8,15.2,223,18,200,2258.35,0.01,999.9,1003.4,1003.5,46.25,0,87.93,0.8,8.1,0.4,2.1,17.21,187,1.11
4/27/2022 9:50,999.8,14.8,221,19,220,2258.36,0.01,999.9,1003.4,1003.5,46.25,0,86.22,0.7,8.7,0.4,1.6,17.15,265,0.56
4/27/2022 10:00,1000.1,14.5,225,19,184,2258.38,0.02,1000.2,1003.7,1003.8,46.25,0,82.75,0.8,8.7,0.3,1.7,17.48,226,0.44
4/27/2022 10:10,1000.1,13.6,231,29,170,2258.42,0.04,1000.2,1003.7,1003.8,46.25,0,76.79,1.4,8.1,0.6,3.9,17.69,200,1.55
4/27/2022 10:20,1000.4,13.1,213,24,186,2258.46,0.04,1000.5,1004,1004.1,46.25,0,76.21,1.3,8.1,0.8,3.1,17.34,213,0.67
4/27/2022 10:30,1000.4,13.3,210,24,272,2258.5,0.04,1000.5,1004,1004.1,46.25,0,75.36,1.3,8.1,0.6,2.6,17.76,155,2.22
4/27/2022 10:40,1000.5,13.5,205,18,202,2258.55,0.05,1000.6,1004.1,1004.2,46.25,0,74.3,1.6,8.2,0.4,2.7,18.12,209,1.11
4/27/2022 10:50,1000.5,13.3,223,23,197,2258.59,0.04,1000.6,1004.1,1004.2,46.25,0,71.34,0.9,8.5,0.4,2.3,18.57,203,0.67
4/27/2022 11:00,1000.5,12.5,239,22,183,2258.63,0.04,1000.6,1004.1,1004.2,46.25,0,69.4,0.9,8.5,0.7,3.2,18.15,224,0.56
4/27/2022 11:10,1000.4,13,223,24,189,2258.68,0.05,1000.5,1004,1004.1,46.25,0,68.14,1.1,9.9,0.4,3,19,159,2.22
